Speed,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
1,-92,-17,-4,4,-71,0,0
1,-91,-18,-2,4,-71,14,26
1,-91,-18,-2,4,-71,0,0
1,-91,-16,3,4,-71,2,4
1,-91,-16,3,4,-71,0,0
1,-94,-17,-4,4,-71,3,5
1,-94,-17,-4,4,-71,2,5
1,-91,-16,3,4,-71,1,1
1,-91,-16,3,4,-71,3,6
1,-93,-13,-1,4,-71,494,11
1,-93,-13,-1,4,-71,1,2
1,-94,-14,1,4,-71,0,1
1,-94,-14,1,12,-73,0,1
1,-92,-17,-8,5,-71,0,0
1,-92,-17,-8,5,-71,0,3
1,-91,-18,0,5,-71,1,1
1,-91,-18,0,5,-71,0,0
1,-92,-14,2,5,-71,18,31
1,-92,-14,2,13,-73,0,0
1,-92,-12,1,8,-71,1,1
1,-92,-12,1,8,-71,0,0
1,-91,-16,-1,8,-71,0,0
1,-91,-16,-1,8,-71,2,7
1,-92,-13,2,8,-71,12,2
1,-92,-13,2,8,-71,2,4
1,-94,-15,0,8,-71,0,0
1,-94,-15,0,8,-71,2,5
1,-91,-19,-10,8,-71,0,1
1,-91,-19,-10,8,-71,22577,98
1,-94,-13,0,8,-71,0,0
1,-94,-13,0,8,-71,0,0
1,-93,-19,-9,8,-71,0,0
1,-93,-19,-9,8,-71,0,0
1,-93,-16,3,8,-71,0,0
1,-93,-16,3,8,-71,0,0
1,-93,-14,-1,8,-71,0,0
1,-93,-14,-1,8,-71,0,0
1,-93,-15,1,8,-71,0,0
1,-93,-15,1,9,-76,1,1
1,-93,-13,2,9,-72,0,0
1,-93,-13,2,9,-72,0,0
1,-93,-15,-2,9,-72,0,0
1,-93,-15,-2,9,-72,2,4
1,-93,-17,-1,9,-72,0,0
1,-93,-17,-1,9,-72,2,4
1,-94,-16,-3,9,-72,0,0
1,-94,-16,-3,9,-72,2,5
1,-93,-13,-6,9,-72,0,0
1,-93,-13,-6,9,-72,0,0
1,-93,-18,-4,9,-72,0,0
1,-93,-18,-4,9,-72,0,0
1,-91,-18,-10,9,-72,0,0
1,-91,-18,-10,9,-72,0,0
1,-93,-17,-2,9,-72,5,12
1,-93,-17,-2,9,-72,0,0
1,-94,-19,0,9,-72,0,0
1,-94,-19,0,9,-72,0,0
1,-92,-18,0,9,-72,0,0
1,-92,-18,0,9,-72,0,0
1,-92,-19,-1,9,-72,0,0
1,-92,-19,-1,9,-72,0,0
1,-93,-15,-2,9,-72,2,4
1,-93,-15,-2,9,-72,0,0
1,-94,-13,-4,9,-72,2,4
1,-94,-13,-4,9,-72,0,0
1,-95,-14,-1,9,-72,18,33
1,-95,-14,-1,9,-72,0,0
1,-95,-14,0,13,-74,1,1
1,-95,-14,0,13,-74,0,0
1,-90,-17,-8,5,-72,0,0
1,-90,-17,-8,5,-72,9185,65
1,-94,-17,-1,5,-72,0,0
1,-94,-17,-1,5,-72,0,0
1,-91,-17,-8,5,-72,14,27
1,-91,-17,-8,5,-72,0,0
1,-90,-18,-9,5,-72,0,0
1,-90,-18,-9,5,-72,0,0
1,-91,-14,2,5,-72,0,0
1,-91,-14,2,5,-72,0,0
1,-92,-14,0,5,-72,0,0
1,-92,-14,0,9,-74,0,0
1,-92,-15,-9,9,-74,2,4
1,-92,-15,-9,13,-72,0,0
1,-94,-13,-2,13,-72,2,4
1,-94,-13,-2,13,-72,0,0
1,-92,-12,-2,7,-70,0,0
1,-92,-12,-2,10,-72,0,0
1,-91,-12,0,10,-72,0,0
1,-91,-12,0,10,-72,0,0
1,-92,-13,-9,10,-72,0,0
1,-92,-13,-9,10,-72,0,0
1,-92,-15,-1,10,-72,1,0
1,-92,-15,-1,4,-74,2,2
1,-92,-16,2,4,-74,0,1
1,-92,-16,2,8,-72,0,1
1,-94,-16,1,8,-72,0,0
1,-94,-16,1,8,-72,0,0
1,-92,-14,-1,8,-72,0,0
1,-92,-14,-1,8,-72,0,2
1,-94,-12,-2,8,-72,0,0
1,-94,-12,-2,8,-72,2,5
1,-92,-11,0,8,-72,0,0
1,-92,-11,0,12,-70,2,4
1,-89,-12,5,14,-73,0,0
1,-89,-12,5,14,-73,2,5
1,-91,-16,-9,14,-73,0,0
